rank,sites,objective_t_km_per_day
1,S2+S4+S5,215.2720
2,S2+S4+S6,231.2994
3,S3+S4+S7,236.3849
4,S4+S5+S7,237.4654
5,S4+S6+S7,240.8092
6,S1+S4+S5,241.0488
7,S1+S2+S4,243.5744
8,S3+S4+S5,249.2959
9,S1+S2+S8,251.5929
10,S1+S4+S7,256.7785
11,S2+S5+S8,260.9204
12,S2+S4+S7,261.0547
13,S4+S5+S6,273.2959
14,S4+S7+S8,278.7585
15,S2+S3+S4,278.9496
16,S5+S7+S8,283.1138
17,S2+S6+S8,283.8916
18,S1+S5+S8,286.6972
19,S3+S7+S8,288.9770
20,S1+S7+S8,289.3336
21,S4+S5+S8,291.6694
22,S6+S7+S8,293.4013
23,S2+S7+S8,293.6098
24,S2+S4+S8,297.5967
25,S3+S5+S8,301.8880
26,S2+S3+S8,304.8658
27,S1+S4+S6,306.0668
28,S1+S2+S6,314.5563
29,S5+S6+S8,325.8880
30,S1+S3+S4,326.1792
31,S1+S2+S5,328.8226
32,S2+S3+S5,337.0697
33,S2+S5+S6,343.4596
34,S1+S4+S8,344.0161
35,S1+S6+S7,352.2971
36,S1+S3+S8,354.2346
37,S2+S6+S7,356.5733
38,S1+S6+S8,358.6589
39,S3+S5+S7,359.2631
40,S2+S3+S6,360.8043
41,S1+S3+S5,362.8465
42,S5+S6+S7,365.6530
43,S1+S5+S7,366.5634
44,S1+S2+S3,368.4919
45,S1+S5+S6,369.2364
46,S3+S6+S7,370.3140
47,S2+S5+S7,370.8396
48,S3+S4+S6,375.1810
49,S1+S3+S7,381.6959
50,S4+S6+S8,383.5552
51,S2+S3+S7,385.9721
52,S3+S5+S6,402.8007
53,S3+S4+S8,404.5294
54,S3+S6+S8,412.1474
55,S1+S3+S6,435.5716
56,S1+S2+S7,477.6489
