B_million,z_star,opt_sites
11.30,356.5716,S2+S6+S7
11.31,356.5716,S2+S6+S7
11.32,356.5716,S2+S6+S7
11.33,356.5716,S2+S6+S7
11.34,356.5716,S2+S6+S7
11.35,356.5716,S2+S6+S7
11.36,356.5716,S2+S6+S7
11.37,356.5716,S2+S6+S7
11.38,356.5716,S2+S6+S7
11.39,356.5716,S2+S6+S7
11.40,356.5716,S2+S6+S7
11.41,356.5716,S2+S6+S7
11.42,356.5716,S2+S6+S7
11.43,356.5716,S2+S6+S7
11.44,356.5716,S2+S6+S7
11.45,356.5716,S2+S6+S7
11.46,356.5716,S2+S6+S7
11.47,356.5716,S2+S6+S7
11.48,356.5716,S2+S6+S7
11.49,356.5716,S2+S6+S7
11.50,314.5542,S1+S2+S6
11.51,314.5542,S1+S2+S6
11.52,314.5542,S1+S2+S6
11.53,314.5542,S1+S2+S6
11.54,314.5542,S1+S2+S6
11.55,314.5542,S1+S2+S6
11.56,314.5542,S1+S2+S6
11.57,314.5542,S1+S2+S6
11.58,314.5542,S1+S2+S6
11.59,314.5542,S1+S2+S6
11.60,314.5542,S1+S2+S6
11.61,314.5542,S1+S2+S6
11.62,314.5542,S1+S2+S6
11.63,314.5542,S1+S2+S6
11.64,314.5542,S1+S2+S6
11.65,314.5542,S1+S2+S6
11.66,314.5542,S1+S2+S6
11.67,314.5542,S1+S2+S6
11.68,314.5542,S1+S2+S6
11.69,314.5542,S1+S2+S6
11.70,314.5542,S1+S2+S6
11.71,314.5542,S1+S2+S6
11.72,314.5542,S1+S2+S6
11.73,314.5542,S1+S2+S6
11.74,314.5542,S1+S2+S6
11.75,314.5542,S1+S2+S6
11.76,314.5542,S1+S2+S6
11.77,314.5542,S1+S2+S6
11.78,314.5542,S1+S2+S6
11.79,314.5542,S1+S2+S6
11.80,231.2988,S2+S4+S6
11.81,231.2988,S2+S4+S6
11.82,231.2988,S2+S4+S6
11.83,231.2988,S2+S4+S6
11.84,231.2988,S2+S4+S6
11.85,231.2988,S2+S4+S6
11.86,231.2988,S2+S4+S6
11.87,231.2988,S2+S4+S6
11.88,231.2988,S2+S4+S6
11.89,231.2988,S2+S4+S6
11.90,231.2988,S2+S4+S6
11.91,231.2988,S2+S4+S6
11.92,231.2988,S2+S4+S6
11.93,231.2988,S2+S4+S6
11.94,231.2988,S2+S4+S6
11.95,231.2988,S2+S4+S6
11.96,231.2988,S2+S4+S6
11.97,231.2988,S2+S4+S6
11.98,231.2988,S2+S4+S6
11.99,231.2988,S2+S4+S6
12.00,231.2988,S2+S4+S6
12.01,231.2988,S2+S4+S6
12.02,231.2988,S2+S4+S6
12.03,231.2988,S2+S4+S6
12.04,231.2988,S2+S4+S6
12.05,231.2988,S2+S4+S6
12.06,231.2988,S2+S4+S6
12.07,231.2988,S2+S4+S6
12.08,231.2988,S2+S4+S6
12.09,231.2988,S2+S4+S6
12.10,231.2988,S2+S4+S6
12.11,231.2988,S2+S4+S6
12.12,231.2988,S2+S4+S6
12.13,231.2988,S2+S4+S6
12.14,231.2988,S2+S4+S6
12.15,231.2988,S2+S4+S6
12.16,231.2988,S2+S4+S6
12.17,231.2988,S2+S4+S6
12.18,231.2988,S2+S4+S6
12.19,231.2988,S2+S4+S6
12.20,231.2988,S2+S4+S6
12.21,231.2988,S2+S4+S6
12.22,231.2988,S2+S4+S6
12.23,231.2988,S2+S4+S6
12.24,231.2988,S2+S4+S6
12.25,231.2988,S2+S4+S6
12.26,231.2988,S2+S4+S6
12.27,231.2988,S2+S4+S6
12.28,231.2988,S2+S4+S6
12.29,231.2988,S2+S4+S6
12.30,231.2988,S2+S4+S6
12.31,231.2988,S2+S4+S6
12.32,231.2988,S2+S4+S6
12.33,231.2988,S2+S4+S6
12.34,231.2988,S2+S4+S6
12.35,231.2988,S2+S4+S6
12.36,231.2988,S2+S4+S6
12.37,231.2988,S2+S4+S6
12.38,231.2988,S2+S4+S6
12.39,231.2988,S2+S4+S6
12.40,231.2988,S2+S4+S6
12.41,231.2988,S2+S4+S6
12.42,231.2988,S2+S4+S6
12.43,231.2988,S2+S4+S6
12.44,231.2988,S2+S4+S6
12.45,231.2988,S2+S4+S6
12.46,231.2988,S2+S4+S6
12.47,231.2988,S2+S4+S6
12.48,231.2988,S2+S4+S6
12.49,231.2988,S2+S4+S6
12.50,231.2988,S2+S4+S6
12.51,231.2988,S2+S4+S6
12.52,231.2988,S2+S4+S6
12.53,231.2988,S2+S4+S6
12.54,231.2988,S2+S4+S6
12.55,231.2988,S2+S4+S6
12.56,231.2988,S2+S4+S6
12.57,231.2988,S2+S4+S6
12.58,231.2988,S2+S4+S6
12.59,231.2988,S2+S4+S6
12.60,231.2988,S2+S4+S6
12.61,231.2988,S2+S4+S6
12.62,231.2988,S2+S4+S6
12.63,231.2988,S2+S4+S6
12.64,231.2988,S2+S4+S6
12.65,231.2988,S2+S4+S6
12.66,231.2988,S2+S4+S6
12.67,231.2988,S2+S4+S6
12.68,231.2988,S2+S4+S6
12.69,231.2988,S2+S4+S6
12.70,231.2988,S2+S4+S6
12.71,231.2988,S2+S4+S6
12.72,231.2988,S2+S4+S6
12.73,231.2988,S2+S4+S6
12.74,231.2988,S2+S4+S6
12.75,231.2988,S2+S4+S6
12.76,231.2988,S2+S4+S6
12.77,231.2988,S2+S4+S6
12.78,231.2988,S2+S4+S6
12.79,231.2988,S2+S4+S6
12.80,231.2988,S2+S4+S6
12.81,231.2988,S2+S4+S6
12.82,231.2988,S2+S4+S6
12.83,231.2988,S2+S4+S6
12.84,231.2988,S2+S4+S6
12.85,231.2988,S2+S4+S6
12.86,231.2988,S2+S4+S6
12.87,231.2988,S2+S4+S6
12.88,231.2988,S2+S4+S6
12.89,231.2988,S2+S4+S6
12.90,231.2988,S2+S4+S6
12.91,231.2988,S2+S4+S6
12.92,231.2988,S2+S4+S6
12.93,231.2988,S2+S4+S6
12.94,231.2988,S2+S4+S6
12.95,231.2988,S2+S4+S6
12.96,231.2988,S2+S4+S6
12.97,231.2988,S2+S4+S6
12.98,231.2988,S2+S4+S6
12.99,231.2988,S2+S4+S6
13.00,231.2988,S2+S4+S6
13.01,231.2988,S2+S4+S6
13.02,231.2988,S2+S4+S6
13.03,231.2988,S2+S4+S6
13.04,231.2988,S2+S4+S6
13.05,231.2988,S2+S4+S6
13.06,231.2988,S2+S4+S6
13.07,231.2988,S2+S4+S6
13.08,231.2988,S2+S4+S6
13.09,231.2988,S2+S4+S6
13.10,231.2988,S2+S4+S6
13.11,231.2988,S2+S4+S6
13.12,231.2988,S2+S4+S6
13.13,231.2988,S2+S4+S6
13.14,231.2988,S2+S4+S6
13.15,231.2988,S2+S4+S6
13.16,231.2988,S2+S4+S6
13.17,231.2988,S2+S4+S6
13.18,231.2988,S2+S4+S6
13.19,231.2988,S2+S4+S6
13.20,231.2988,S2+S4+S6
13.21,231.2988,S2+S4+S6
13.22,231.2988,S2+S4+S6
13.23,231.2988,S2+S4+S6
13.24,231.2988,S2+S4+S6
13.25,231.2988,S2+S4+S6
13.26,231.2988,S2+S4+S6
13.27,231.2988,S2+S4+S6
13.28,231.2988,S2+S4+S6
13.29,231.2988,S2+S4+S6
13.30,231.2988,S2+S4+S6
13.31,231.2988,S2+S4+S6
13.32,231.2988,S2+S4+S6
13.33,231.2988,S2+S4+S6
13.34,231.2988,S2+S4+S6
13.35,231.2988,S2+S4+S6
